goos: linux
goarch: amd64
pkg: github.com/kudesn1k1/WasmHooks/dataplane/internal/sandbox/extismrt
cpu: AMD EPYC 9V74 80-Core Processor                
BenchmarkCompile/distinct-4   	      19	  62055501 ns/op	11875086 B/op	   20737 allocs/op
BenchmarkCompile/distinct-4   	      19	  62231945 ns/op	11873905 B/op	   20737 allocs/op
BenchmarkCompile/distinct-4   	      19	  61293330 ns/op	11873861 B/op	   20737 allocs/op
BenchmarkCompile/distinct-4   	      19	  65641488 ns/op	11874016 B/op	   20738 allocs/op
BenchmarkCompile/distinct-4   	      19	  61376499 ns/op	11874056 B/op	   20738 allocs/op
BenchmarkCompile/distinct-4   	      19	  60730942 ns/op	11873806 B/op	   20737 allocs/op
BenchmarkCompile/distinct-4   	      19	  60746211 ns/op	11873837 B/op	   20736 allocs/op
BenchmarkCompile/distinct-4   	      19	  60646230 ns/op	11873854 B/op	   20736 allocs/op
BenchmarkCompile/distinct-4   	      19	  60918010 ns/op	11873785 B/op	   20736 allocs/op
BenchmarkCompile/distinct-4   	      19	  60666317 ns/op	11873862 B/op	   20737 allocs/op
BenchmarkCompile/same/noCache-4         	      19	  60849330 ns/op	11734286 B/op	   20725 allocs/op
BenchmarkCompile/same/noCache-4         	      19	  60973485 ns/op	11734349 B/op	   20725 allocs/op
BenchmarkCompile/same/noCache-4         	      19	  61718735 ns/op	11734441 B/op	   20726 allocs/op
BenchmarkCompile/same/noCache-4         	      19	  60874887 ns/op	11734434 B/op	   20726 allocs/op
BenchmarkCompile/same/noCache-4         	      19	  60532552 ns/op	11734364 B/op	   20726 allocs/op
BenchmarkCompile/same/noCache-4         	      19	  60756899 ns/op	11734429 B/op	   20726 allocs/op
BenchmarkCompile/same/noCache-4         	      19	  60613768 ns/op	11734534 B/op	   20726 allocs/op
BenchmarkCompile/same/noCache-4         	      20	  61360869 ns/op	11734484 B/op	   20726 allocs/op
BenchmarkCompile/same/noCache-4         	      19	  60652547 ns/op	11734273 B/op	   20725 allocs/op
BenchmarkCompile/same/noCache-4         	      19	  60434000 ns/op	11734381 B/op	   20726 allocs/op
BenchmarkCompile/same/sharedCache-4     	     126	   9360751 ns/op	 6875702 B/op	   11324 allocs/op
BenchmarkCompile/same/sharedCache-4     	     123	   9536765 ns/op	 6876631 B/op	   11326 allocs/op
BenchmarkCompile/same/sharedCache-4     	     128	   9204962 ns/op	 6875025 B/op	   11322 allocs/op
BenchmarkCompile/same/sharedCache-4     	     127	   9310670 ns/op	 6875366 B/op	   11323 allocs/op
BenchmarkCompile/same/sharedCache-4     	     127	   9327500 ns/op	 6875300 B/op	   11323 allocs/op
BenchmarkCompile/same/sharedCache-4     	     127	   9228779 ns/op	 6875335 B/op	   11323 allocs/op
BenchmarkCompile/same/sharedCache-4     	     123	   9598897 ns/op	 6876582 B/op	   11325 allocs/op
BenchmarkCompile/same/sharedCache-4     	     124	   9479531 ns/op	 6876230 B/op	   11325 allocs/op
BenchmarkCompile/same/sharedCache-4     	     124	   9497511 ns/op	 6876278 B/op	   11325 allocs/op
